iter	Logloss
0	0.6925195531
1	0.6919503002
2	0.6914472915
3	0.6909724474
4	0.690518467
5	0.6900870693
6	0.6896287268
7	0.6891936467
8	0.6887967449
9	0.6884466002
10	0.6880881845
11	0.6877616044
12	0.6874495044
13	0.687135569
14	0.6868760578
15	0.6865867324
16	0.6863362126
17	0.686107625
18	0.6858928498
19	0.685660057
20	0.685454912
21	0.6852315403
22	0.6850599327
23	0.6848801817
24	0.6846867289
25	0.68450437
26	0.6843183809
27	0.6841783126
28	0.6840433498
29	0.683911297
30	0.6837595017
31	0.6836144266
32	0.6834891057
33	0.6833760055
34	0.6832523109
35	0.683129023
36	0.6829939963
37	0.6828742572
38	0.6827816431
39	0.6826838479
40	0.6825794197
41	0.6824691191
42	0.6823494962
43	0.6822564291
44	0.6821665565
45	0.6820860121
46	0.6820068269
47	0.6819201606
48	0.6818535446
49	0.6817752132
50	0.6816986941
51	0.6816220413
52	0.6815249606
53	0.6814749856
54	0.6814184006
55	0.68134047
56	0.6812733546
57	0.6811992226
58	0.6811275941
59	0.6810547574
60	0.6809796729
61	0.6809165245
62	0.6808673569
63	0.6808017225
64	0.6807376913
65	0.6806793523
66	0.6806192591
67	0.6805677158
68	0.6805146914
69	0.6804668364
70	0.6804194287
71	0.6803631632
72	0.6803139723
73	0.6802653681
74	0.6802139003
75	0.6801650521
76	0.6801250384
77	0.6800779095
78	0.6800344514
79	0.6799934909
80	0.6799520019
81	0.6798985709
82	0.6798546075
83	0.6798247526
84	0.6797885898
85	0.6797462644
86	0.6797049148
87	0.6796657084
88	0.6796213849
89	0.6795834913
90	0.6795507554
91	0.6795161609
92	0.6794810959
93	0.6794534714
94	0.6794264103
95	0.6793974383
96	0.6793626289
97	0.6793337614
98	0.6792993643
99	0.6792659024
100	0.6792363728
101	0.67920506
102	0.6791721557
103	0.6791390365
104	0.6791151351
105	0.6790908504
106	0.6790570459
107	0.6790245772
108	0.6789916381
109	0.6789614753
110	0.6789304936
111	0.6788976358
112	0.6788676995
113	0.6788342783
114	0.6788027854
115	0.6787683594
116	0.6787381618
117	0.6787120184
118	0.6786838653
119	0.6786574373
120	0.6786275708
121	0.6786068931
122	0.678572711
123	0.6785415957
124	0.6785224804
125	0.6784961279
126	0.6784701239
127	0.6784451016
128	0.6784235933
129	0.6784005225
130	0.6783752678
131	0.6783475329
132	0.6783234457
133	0.6782994224
134	0.6782830429
135	0.6782579798
136	0.6782325451
137	0.6782091839
138	0.678182268
139	0.6781557994
140	0.6781338322
141	0.6781093849
142	0.6780777294
143	0.6780521262
144	0.6780316866
145	0.6780079072
146	0.6779772566
147	0.6779526292
148	0.6779220192
149	0.6778987626
150	0.6778776725
151	0.6778520634
152	0.6778324312
153	0.677808344
154	0.6777863013
155	0.677767035
156	0.6777420127
157	0.6777197261
158	0.6776972013
159	0.6776821286
160	0.6776593831
161	0.6776403434
162	0.6776230693
163	0.6775966472
164	0.6775703644
165	0.6775492336
166	0.6775288057
167	0.6775096323
168	0.6774882692
169	0.6774689971
170	0.6774434404
171	0.6774268633
172	0.6774084277
173	0.6773883656
174	0.6773717189
175	0.6773513142
176	0.6773313625
177	0.677311527
178	0.6772948106
179	0.6772791048
180	0.6772517591
181	0.6772276661
182	0.6772111703
183	0.6771933039
184	0.6771682118
185	0.6771464828
186	0.6771285466
187	0.6771087169
188	0.6770913383
189	0.6770762076
190	0.6770557332
191	0.6770334175
192	0.6770072393
193	0.6769900291
194	0.6769749913
195	0.676950997
196	0.6769327879
197	0.6769144858
198	0.6768966367
199	0.6768796357
200	0.6768617343
201	0.6768455174
202	0.676828255
203	0.6768088261
204	0.6767848376
205	0.6767649034
206	0.6767469904
207	0.6767263243
208	0.676706483
209	0.6766921306
210	0.6766756871
211	0.676657327
212	0.6766395999
213	0.6766187189
214	0.6765991447
215	0.6765838862
216	0.6765674312
217	0.6765451852
218	0.6765252277
219	0.6765127281
220	0.676496761
221	0.6764760775
222	0.6764601219
223	0.6764424181
224	0.676427055
225	0.6764134635
226	0.6763965554
227	0.6763844856
228	0.6763672116
229	0.6763454013
230	0.6763220807
231	0.6763053875
232	0.6762799528
233	0.6762631667
234	0.6762504522
235	0.67623585
236	0.6762204114
237	0.6762062391
238	0.6761924616
239	0.6761753328
240	0.6761608352
241	0.6761472262
242	0.6761291681
243	0.6761129338
244	0.6760937778
245	0.6760739888
246	0.6760581668
247	0.6760418628
248	0.6760236769
