iter	Passed	Remaining
0	140	127219
1	268	121318
2	422	126843
3	564	127122
4	729	131120
5	876	131128
6	1034	132537
7	1177	131902
8	1327	131992
9	1474	131791
10	1647	133711
11	1802	133975
12	1944	133298
13	2086	132642
14	2245	133095
15	2423	134515
16	2565	133843
17	2720	133907
18	2855	132996
19	2996	132464
20	3149	132415
21	3286	131775
22	3423	131132
23	3585	131462
24	3756	132076
25	3914	132194
26	4092	132934
27	4247	132873
28	4601	138828
29	4788	139517
30	4962	139744
31	5120	139534
32	5292	139676
33	5454	139563
34	5627	139722
35	5793	139678
36	5949	139411
37	6104	139125
38	6271	139092
39	6439	139082
40	6594	138796
41	6759	138740
42	6931	138798
43	7078	138349
44	7255	138497
45	7440	138785
46	7611	138795
47	7786	138854
48	7952	138759
49	8113	138586
50	8277	138451
51	8462	138658
52	8605	138171
53	8762	137936
54	8917	137657
55	9066	137289
56	9209	136855
57	9361	136552
58	9510	136204
59	9686	136254
60	9834	135907
61	9976	135481
62	10127	135194
63	10310	135322
64	10479	135261
65	10643	135139
66	10786	134756
67	10928	134357
68	11081	134097
69	11225	133738
70	11377	133483
71	11539	133350
72	11711	133323
73	11855	132977
74	12006	132707
75	12156	132442
76	12340	132538
77	12494	132317
78	12636	131967
79	12777	131610
80	12913	131207
81	13061	130930
82	13203	130606
83	13341	130236
84	13484	129927
85	13664	129975
86	13829	129866
87	13971	129550
88	14107	129187
89	14275	129110
90	14434	128959
91	14568	128580
92	14706	128249
93	14846	127933
94	14986	127625
95	15128	127329
96	15277	127100
97	15414	126773
98	15566	126574
99	15726	126442
100	15861	126107
101	16001	125815
102	16139	125513
103	16318	125524
104	16462	125268
105	16610	125046
106	16751	124778
107	16891	124492
108	17032	124224
109	17193	124107
110	17335	123850
111	17475	123575
112	17662	123639
113	17827	123540
114	17979	123355
115	18118	123081
116	18282	122977
117	18432	122779
118	18579	122562
119	18720	122304
120	18858	122035
121	19002	121799
122	19140	121532
123	19290	121345
124	19433	121106
125	19609	121083
126	19761	120903
127	19896	120621
128	20035	120370
129	20175	120119
130	20346	120060
131	20503	119916
132	20652	119724
133	20804	119546
134	20940	119281
135	21085	119073
136	21237	118896
137	21390	118731
138	21543	118565
139	21719	118525
140	21858	118283
141	22000	118058
142	22138	117814
143	22321	117810
144	22457	117552
145	22597	117321
146	22750	117156
147	22886	116907
148	23030	116699
149	23192	116579
150	23356	116472
151	23505	116292
152	23700	116333
153	23858	116192
154	24015	116047
155	24169	115887
156	24339	115807
157	24478	115575
158	24630	115406
159	24767	115168
160	24903	114927
161	25051	114743
162	25194	114534
163	25340	114342
164	25506	114236
165	25699	114252
166	25848	114075
167	25992	113873
168	26148	113721
169	26325	113662
170	26461	113429
171	26613	113261
172	26766	113098
173	26922	112952
174	27132	113025
175	27327	113037
176	27485	112892
177	27662	112826
178	27807	112628
179	27963	112475
180	28109	112284
181	28284	112206
182	28436	112034
183	28582	111844
184	28736	111684
185	28870	111447
186	29017	111261
187	29170	111097
188	29319	110917
189	29475	110766
190	29671	110762
191	29811	110551
192	29951	110340
193	30093	110134
194	30268	110052
195	30431	109927
196	30583	109759
197	30718	109532
198	30855	109313
199	30986	109073
200	31123	108853
201	31260	108638
202	31396	108420
203	31554	108276
204	31720	108158
205	31853	107930
206	31993	107726
207	32131	107518
208	32303	107421
209	32444	107220
210	32585	107023
211	32731	106838
212	32875	106653
213	33016	106455
214	33154	106248
215	33293	106044
216	33429	105832
217	33609	105762
218	33771	105632
219	33918	105455
220	34056	105251
221	34223	105136
222	34383	105000
223	34516	104782
224	34656	104584
225	34784	104354
226	34927	104167
227	35074	103993
228	35217	103806
229	35359	103619
230	35515	103470
231	35682	103356
232	35841	103216
233	35989	103045
234	36130	102855
235	36303	102758
236	36454	102596
237	36604	102430
238	36753	102265
239	36907	102110
240	37062	101961
241	37206	101780
242	37352	101604
243	37516	101479
244	37676	101342
245	37820	101162
246	37969	100996
247	38110	100808
248	38282	100704
249	38416	100497
250	38564	100330
251	38711	100158
252	38861	99995
253	39001	99805
254	39145	99628
255	39290	99454
256	39501	99444
257	39668	99324
258	39817	99159
259	39978	99022
260	40128	98861
261	40311	98777
262	40464	98622
263	40617	98467
264	40761	98289
265	40905	98111
266	41043	97920
267	41182	97731
268	41320	97540
269	41474	97387
270	41634	97248
271	41773	97062
272	41908	96865
273	42054	96694
274	42236	96605
275	42383	96437
276	42522	96250
277	42663	96069
278	42808	95896
279	42948	95713
280	43091	95537
281	43241	95377
282	43385	95203
283	43569	95115
284	43716	94950
285	43864	94784
286	43999	94592
287	44162	94458
288	44324	94323
289	44479	94173
290	44612	93977
291	44762	93817
292	44907	93646
293	45042	93454
294	45197	93306
295	45343	93137
296	45514	93022
297	45673	92880
298	45819	92710
299	45971	92556
300	46122	92397
301	46321	92336
302	46470	92173
303	46621	92016
304	46785	91884
305	46951	91755
306	47102	91597
307	47272	91475
308	47433	91335
309	47613	91233
310	47761	91068
311	47917	90919
312	48092	90807
313	48287	90730
314	48433	90563
315	48581	90398
316	48722	90220
317	48870	90056
318	49031	89917
319	49183	89760
320	49323	89580
321	49491	89453
322	49650	89309
323	49794	89138
324	49938	88966
325	50099	88826
326	50282	88723
327	50435	88569
328	50593	88422
329	50737	88251
330	50886	88089
331	51041	87939
332	51196	87786
333	51356	87643
334	51538	87537
335	51693	87387
336	51837	87216
337	51993	87066
338	52160	86934
339	52328	86803
340	52483	86651
341	52630	86487
342	52782	86329
343	52934	86171
344	53074	85995
345	53228	85841
346	53383	85690
347	53580	85604
348	53738	85457
349	53891	85303
350	54032	85128
351	54210	85012
352	54354	84841
353	54491	84661
354	54629	84483
355	54771	84311
356	54910	84133
357	55053	83964
358	55207	83810
359	55347	83635
360	55525	83519
361	55664	83343
362	55802	83165
363	55949	83001
364	56094	82835
365	56252	82688
366	56389	82509
367	56533	82341
368	56677	82174
369	56835	82026
370	56977	81857
371	57126	81696
372	57262	81518
373	57411	81357
374	57584	81231
375	57723	81058
376	57870	80896
377	58010	80724
378	58170	80578
379	58321	80422
380	58462	80251
381	58600	80077
382	58739	79903
383	58882	79737
384	59018	79560
385	59162	79394
386	59300	79220
387	59461	79077
388	59629	78943
389	59764	78766
390	59914	78608
391	60069	78457
392	60248	78338
393	60393	78174
394	60547	78022
395	60697	77864
396	60840	77698
397	61024	77583
398	61211	77472
399	61349	77299
400	61531	77183
401	61675	77018
402	61821	76855
403	61984	76714
404	62148	76573
405	62305	76424
406	62449	76258
407	62587	76087
408	62736	75927
409	62873	75754
410	63002	75572
411	63137	75397
412	63291	75244
413	63456	75105
414	63618	74963
415	63764	74800
416	63913	74642
417	64070	74493
418	64240	74359
419	64366	74175
420	64517	74018
421	64661	73855
422	64813	73699
423	64970	73551
424	65119	73393
425	65265	73232
426	65429	73090
427	65601	72958
428	65755	72806
429	65903	72647
430	66062	72499
431	66244	72378
432	66387	72213
433	66547	72067
434	66707	71921
435	66858	71765
436	67012	71613
437	67157	71451
438	67298	71283
439	67474	71154
440	67619	70992
441	67776	70843
442	67921	70681
443	68066	70519
444	68245	70392
445	68387	70227
446	68527	70060
447	68668	69894
448	68815	69734
449	68977	69590
450	69115	69421
451	69265	69265
452	69418	69112
453	69578	68965
454	69723	68803
455	69878	68652
456	70037	68505
457	70220	68380
458	70361	68215
459	70503	68051
460	70649	67891
461	70788	67723
462	70926	67556
463	71075	67399
464	71209	67228
465	71348	67061
466	71522	66927
467	71654	66754
468	71795	66590
469	71940	66429
470	72099	66282
471	72261	66137
472	72409	65980
473	72546	65811
474	72690	65651
475	72820	65477
476	72961	65313
477	73124	65169
478	73268	65008
479	73430	64863
480	73592	64718
481	73737	64558
482	73867	64385
483	74026	64238
484	74204	64106
485	74355	63952
486	74506	63797
487	74640	63627
488	74780	63464
489	74915	63296
490	75046	63124
